<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FXRB,M,20130401,000000,1026.0000000,1060.8000000,1025.3000000,1060.0000000,1176
FXRB,M,20130501,000000,1017.0000000,1065.0000000,917.1000000,1040.0000000,48383
FXRB,M,20130601,000000,1036.0000000,1042.1000000,1004.0000000,1006.0000000,54252
FXRB,M,20130701,000000,1007.0000000,1037.1000000,1004.9000000,1037.1000000,51866
FXRB,M,20130801,000000,1035.1000000,1047.5000000,1035.1000000,1044.0000000,54038
FXRB,M,20130901,000000,1043.0000000,1055.0000000,1043.0000000,1052.9000000,50896
FXRB,M,20131001,000000,1000.0000000,1057.0000000,996.0000000,1017.0000000,53333
FXRB,M,20131101,000000,1012.0000000,1025.0000000,1008.0000000,1025.0000000,50256
FXRB,M,20131201,000000,1023.1000000,1023.1000000,1001.8000000,1020.0000000,56315
FXRB,M,20140101,000000,1022.0000000,1034.1000000,1003.2000000,1032.9000000,40
FXRB,M,20140201,000000,1030.8000000,1037.9000000,987.1000000,1010.0000000,6685
FXRB,M,20140301,000000,1000.0000000,1012.5000000,950.1000000,953.7000000,74641
FXRB,M,20140401,000000,939.8000000,963.3000000,925.0000000,935.3000000,97588
FXRB,M,20140501,000000,926.0000000,978.0000000,926.0000000,974.0000000,17505
FXRB,M,20140601,000000,976.0000000,1000.1000000,975.2000000,995.0000000,20832
FXRB,M,20140701,000000,997.0000000,1006.3000000,944.3000000,957.0000000,113795
FXRB,M,20140801,000000,953.6000000,980.0000000,928.0000000,963.0000000,16994
FXRB,M,20140901,000000,955.3000000,980.0000000,900.1000000,907.9000000,14683
FXRB,M,20141001,000000,917.0000000,917.0000000,891.2000000,908.8000000,9991
FXRB,M,20141101,000000,904.0000000,911.5000000,863.0000000,884.0000000,12748
FXRB,M,20141201,000000,878.0000000,890.0000000,496.0000000,799.0000000,25637
FXRB,M,20150101,000000,796.0000000,808.0000000,743.0000000,777.0000000,2622
FXRB,M,20150201,000000,767.0000000,861.0000000,701.0000000,853.0000000,2717
FXRB,M,20150301,000000,895.0000000,897.0000000,848.0000000,886.0000000,10710
FXRB,M,20150401,000000,889.0000000,950.0000000,882.0000000,932.0000000,2213
FXRB,M,20150501,000000,930.0000000,979.0000000,923.0000000,953.0000000,1581
FXRB,M,20150601,000000,954.0000000,982.0000000,931.0000000,979.0000000,1560
FXRB,M,20150701,000000,980.0000000,995.0000000,971.0000000,986.0000000,4925
FXRB,M,20150801,000000,985.0000000,1052.0000000,974.0000000,994.0000000,4558
FXRB,M,20150901,000000,1004.0000000,1025.0000000,989.0000000,1022.0000000,5299
FXRB,M,20151001,000000,1024.0000000,1050.0000000,1007.0000000,1048.0000000,5606
FXRB,M,20151101,000000,1049.0000000,1058.0000000,1036.0000000,1054.0000000,2143
FXRB,M,20151201,000000,1054.0000000,1069.0000000,1036.0000000,1063.0000000,6249
FXRB,M,20160101,000000,1065.0000000,1082.0000000,1045.0000000,1078.0000000,9649
FXRB,M,20160201,000000,1075.0000000,1111.0000000,1070.0000000,1085.0000000,10973
FXRB,M,20160301,000000,1092.0000000,1132.0000000,1085.0000000,1128.0000000,46411
FXRB,M,20160401,000000,1129.0000000,1159.0000000,1126.0000000,1156.0000000,64347
FXRB,M,20160501,000000,1164.0000000,1180.0000000,1140.0000000,1172.0000000,97169
FXRB,M,20160601,000000,1172.0000000,1343.0000000,1167.0000000,1208.0000000,95728
FXRB,M,20160701,000000,1202.0000000,1221.0000000,1184.0000000,1192.0000000,73338
FXRB,M,20160801,000000,1196.0000000,1224.0000000,1191.0000000,1222.0000000,79167
FXRB,M,20160901,000000,1223.0000000,1242.0000000,1220.0000000,1235.0000000,83426
FXRB,M,20161001,000000,1229.0000000,1241.0000000,1091.0000000,1238.0000000,69975
FXRB,M,20161101,000000,1231.0000000,1246.0000000,1207.0000000,1213.0000000,55133
FXRB,M,20161201,000000,1210.0000000,1246.0000000,1210.0000000,1246.0000000,54296
FXRB,M,20170101,000000,1246.0000000,1276.0000000,1238.0000000,1247.0000000,3436
