<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOEX,M,20130201,000000,58.15,58.15,51.23,53.89,18529980,0
MOEX,M,20130301,000000,53.7,55.24,48.8,49.48,32290860,0
MOEX,M,20130401,000000,50.18,50.18,42.57,44.41,11385830,0
MOEX,M,20130501,000000,44.55,55.06,43.75,53.37,11864240,0
MOEX,M,20130601,000000,53.46,54.78,49.78,53.21,17407200,0
MOEX,M,20130701,000000,53.48,56.3,53.26,56.28,13377880,0
MOEX,M,20130801,000000,56.22,67.72,55.12,61,18542780,0
MOEX,M,20130901,000000,61.27,67.4,59.36,62.05,43394490,0
MOEX,M,20131001,000000,62.21,69.99,61.2,61.23,92494850,0
MOEX,M,20131101,000000,61.02,67.97,60.6,67,172292310,0
MOEX,M,20131201,000000,66.93,66.96,61.48,65,89014910,0
MOEX,M,20140101,000000,63.2,65.46,60.15,61.43,45229910,0
MOEX,M,20140201,000000,61.61,66.45,59.78,64,71532750,0
MOEX,M,20140301,000000,61,61.99,42.74,57.9,139647510,0
MOEX,M,20140401,000000,57.88,63,51.49,52.79,94348380,0
MOEX,M,20140501,000000,52.26,65.75,52.09,65.75,79967170,0
MOEX,M,20140601,000000,65.58,70.93,61.3,67.45,88399580,0
MOEX,M,20140701,000000,66.99,67.47,55.12,56.94,197490710,0
MOEX,M,20140801,000000,56.67,67.42,53.72,63.5,117315000,0
MOEX,M,20140901,000000,63.05,65.37,57.61,58.5,206762840,0
MOEX,M,20141001,000000,58.38,62.28,57.16,58,131176150,0
MOEX,M,20141101,000000,58,64.31,56.61,59.83,128334630,0
MOEX,M,20141201,000000,59.79,63.5,55.9,59.06,158082920,0
MOEX,M,20150101,000000,59.5,71,58.51,70,99011300,0
MOEX,M,20150201,000000,70.28,78.93,68.23,76.9,131978860,0
MOEX,M,20150301,000000,76.21,78.04,64.4,69,172187320,0
MOEX,M,20150401,000000,68.65,78.5,68.31,77,152514870,0
MOEX,M,20150501,000000,77,79.77,70.1,72,111962700,0
MOEX,M,20150601,000000,72.34,74.29,67.55,69.82,110862670,0
MOEX,M,20150701,000000,69.65,72.47,65.27,70.5,111582810,0
MOEX,M,20150801,000000,70.75,76.8,66.55,74.31,105266690,0
MOEX,M,20150901,000000,74.19,84.48,73.08,80,135423110,0
MOEX,M,20151001,000000,80.47,95.68,76.15,89.84,139209110,0
MOEX,M,20151101,000000,90,102.23,85.76,94.5,140811390,0
MOEX,M,20151201,000000,94.51,97.15,86.95,91.4,110970200,0
MOEX,M,20160101,000000,91.32,97,85.2,95.99,136812940,0
MOEX,M,20160201,000000,95.25,100.7,87.79,99,223999400,0
MOEX,M,20160301,000000,99,108.77,96.65,105.05,234366770,0
MOEX,M,20160401,000000,104.7,112.54,100.58,102.15,162143870,0
MOEX,M,20160501,000000,101.7,111.18,101.5,109.4,137821300,0
MOEX,M,20160601,000000,108.9,119.26,106.5,112.52,125378120,0
MOEX,M,20160701,000000,112,120.9,109.88,113.51,103472530,0
MOEX,M,20160801,000000,113.54,132.4,110.6,127.07,123981830,0
